Date,Q,N
14/02/2021 14:05:30,Q7,80
14/02/2021 14:05:30,Q8,69
14/02/2021 14:05:30,Q9,40
14/02/2021 14:05:30,Q10,65
14/02/2021 14:05:30,Q11,41

14/02/2021 16:10:38,Q1,20
14/02/2021 16:10:38,Q3,80
14/02/2021 16:10:38,Q4,94
14/02/2021 16:10:38,Q5,14
14/02/2021 16:10:38,Q6,80
14/02/2021 16:10:38,Q7,81
14/02/2021 16:10:38,Q8,70
14/02/2021 16:10:38,Q9,56
14/02/2021 16:10:38,Q10,62
14/02/2021 16:10:38,Q11,60

14/02/2021 16:50:52,Q1,14
14/02/2021 16:50:52,Q3,60
14/02/2021 16:50:52,Q4,50
14/02/2021 16:50:52,Q5,14
14/02/2021 16:50:52,Q6,40
14/02/2021 16:50:52,Q7,35
14/02/2021 16:50:52,Q8,70
14/02/2021 16:50:52,Q9,14
14/02/2021 16:50:52,Q10,30
14/02/2021 16:50:52,Q11,59

14/02/2021 23:56:41,Q1,24
14/02/2021 23:56:41,Q3,86
14/02/2021 23:56:41,Q4,80
14/02/2021 23:56:41,Q5,12
14/02/2021 23:56:41,Q6,85
14/02/2021 23:56:41,Q7,90
14/02/2021 23:56:41,Q8,80
14/02/2021 23:56:41,Q9,45
14/02/2021 23:56:41,Q10,70
14/02/2021 23:56:41,Q11,60

15/02/2021 08:54:57,Q1,10
15/02/2021 08:54:57,Q3,25
15/02/2021 08:54:57,Q4,80
15/02/2021 08:54:57,Q5,45
15/02/2021 08:54:57,Q6,45
15/02/2021 08:54:57,Q7,45
15/02/2021 08:54:57,Q8,80
15/02/2021 08:54:57,Q9,50
15/02/2021 08:54:57,Q10,50
15/02/2021 08:54:57,Q11,60
